ID,Id wymagania,Tytuł,Warunki wstępne,Opis kroków,Oczekiwany rezultat
53,R16,Usuwanie produktów bezpośrednio z listy życzeń (ulubionych),"Uzytkownik znajduję się na stronie https://home.biedronka.pl/, jest zalogowany i ma produkty w liscie życzeń","1. Kliknij w przycisk ""Lista życzeń"" 
 2. Kliknij w ikonę czarnego serduszka ""Usuń z listy życzeń"" dowolnego produktu","Produkt zostanie usunięty z listy życzeń, dodatkowo w prawym górnym rogu przy serduszku ""Lista życzeń"" cyfra w kółeczku na niebieskim tle informująca o liczbie produktów dodanych do ulubionych zostanie pomniejszona o ilość usuniętych produktów"
54,R17,Informacja o maksymalnej liczbie tego samego produktu możliwej do zamówienia w ciągu doby,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku żądany produkt,1. Za pomocą okrągłego przycisku biłaego plusika na niebieskim tle dodaj 10 szt.,"Przycisk dodawania produktu zmienia się kolor plusika na szary i tło staje się białe. Wyświetlenie informajca na czerwono, że ""Maksymalnie można zamówić 10 sztuk takiego samego produktu w ciągu doby"""
55,R18,Dodawanie kodu rabatowego - Happy Path,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku żądany produkt,"1. Kliknij w pole ""KOD RABATOWY"" pod Podsumowaniem
 2. W polu ""Wpisz kod rabatowy"" wprowadź błędny kod 
 3. Kliknij w przycisk ""Dodaj kod rabatowy""","Rabat zostanie naliczony, jako potwierdzenie w sekcji PODSUMOWANIE wartość koszyka zostanie pomniejszona o wartość kodu rabatowego"
56,R18,Dodawanie kodu rabatowego nieaktualnego,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku żądany produkt,"1. Kliknij w pole ""KOD RABATOWY"" pod Podsumowaniem
 2. W polu ""Wpisz kod rabatowy"" wprowadź błędny kod 
 3. Kliknij w przycisk ""Dodaj kod rabatowy""","Wyświetli się informacja na czerwono: ""Nie rozpoznano kodu"""
57,R18,Dodawanie kodu rabatowego zostawiając puste pole,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku żądany produkt,"1. Kliknij w pole ""KOD RABATOWY"" pod Podsumowaniem
 2. W polu ""Wpisz kod rabatowy"" nic nie wpisuj (pozostaw puste pole)
 3. Kliknij w przycisk ""Dodaj kod rabatowy""","Wyświetli się informacja na czerwono: ""Nie rozpoznano kodu"""
58,R19,"Uzyskanie darmowej dostawie przy zakupach za minimum 149,00 zł","Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku produkt o wartości co najmniej 149,00 zł",,"W sekcji PODSTUMOWANIE Dostawa wyświetli wartość od 0,00 zł"
59,R20,Wybór opcji dostawy,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku żądany produkt,"1. Kliknij przycisk ""Przejdź do kasy""
 2. Wybierz sposób dostawy poprzez kliknięcie w daną opcje dostawy",Obwódka wybranego sposobu dostawy zmieni kolor na niebieski oraz zostanie zaznaczony radio button
60,R22,Wybór metody płatności on-line,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku żądany produkt,"1. Kliknij przycisk ""Przejdź do kasy""
 2. Wybierz sposób dostawy i kliknij przycisk ""Kontynuuj"" 
 3. Wypełnij wszystkie wymagane pola oraz checkbox zaznaczone * i kliknij przycisk ""Kontynuuj""
 4. Wybierz sposób płatności poprzez kliknięcie w daną opcje zapłaty","Obwódka wybranego sposobu płatności zmieni kolor na niebieski oraz zostanie zaznaczony radio button a pole ""zamawiam i płacę"" podświetli się na czarno i stanie się aktywnym przyciskiem"
61,R24,Możliwość zaznaczenia Faktury VAT na firmę podczas składania zamowienia,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku żądany produkt,"1. Kliknij przycisk ""Przejdź do kasy""
 2. Wybierz sposób dostawy i kliknij przycisk ""Kontynuuj"" 
 3. Zaznacz checkbox ""Faktura VAT na firmęj""","Wyświętlą się dodatkowe pola do uzupełnienia dotyczące firmy takie jak: Nazwa firmy, NIP, Kraj, Kod pocztowy, Miejscowość, Ulica, Numer domu, Numer mieszkania"
62,R27,Wyszukiwarka znajduje się na stronie głównej,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""","Pole wyszukiwania powiekszy się, pojawi się możliwośc wpisania tekstu oraz rozwinie się lista z popularnymi wyszukiwaniami"
63,R28,Sprawdzenie wyszukiwania pojedyńczy wynik,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz ""Nóż uniwersalny kuty Borde""
 3. Kliknij przycisk lupki",Wyświetli się strona szukanego produktu (zostaniemy przeniesieni na bezpośrednio na strone szukanego noża)
64,R28,Sprawdzenie wyszukiwania znaków specjalnych,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz jeden dowolny znak specjalny
 3. Kliknij przycisk lupki","Wyświetli się strona z informacją ""Nie znaleziono produktu"""
65,R28,Sprawdzenie wyszukiwania polskich znaków diakrytycznych,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz jeden dowolny polski znak diakrytyczny
 3. Kliknij przycisk lupki","Wyświetli się strona z informacją ""Nie znaleziono produktu"""
66,R28,Sprawdzenie wyszukiwania pojedyńczej cyfry,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz jedeną dowolną cyfrę
 3. Kliknij przycisk lupki","Wyświetli się lista produktów, które w nazwie zawierają szukaną cyfrę"
67,R28,Sprawdzenie wyszukiwania producent,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz nazwę dowolnego producenta
 3. Kliknij przycisk lupki",Wyświetli się lista produktów danego producenta
68,R28,Sprawdzenie wyszukiwania długiego ciągu znaków,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz dowolny długi ciąg znaków
 3. Kliknij przycisk lupki","Wyświetli się strona z informacją ""Nie znaleziono produktu"""
69,R28,"Sprawdzenie wyszukiwania pustych znaków (""Spacji"")",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz dowolny ciąg pustych znaków
 3. Kliknij przycisk lupki","Wyświetli się strona z informacją ""Nie znaleziono produktu"""
70,R28,Sprawdzenie wyszukiwania opcje zaawansowane i ustawienia,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""","Powiększy się okienko ""Szukaj w Biedronce"" z możliwością wybrania opcji zaawansowane"
71,R28,Sprawdzenie wyszukiwania - kolorystyka wyników odwiedzonych i nieodwiedzonych,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki",Wyświetli się lista 40 produktów spełaniających warunek szukanego słowa oraz nazwy produktów wcześniej odwiedzanych zmienią kolor na niebieski. Nieodwiedzone pozostają standardowo czarne.
72,R28,Sprawdzenie wyszukiwania - liczba wyników na stronie,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki",Wyświetli się strona z listą produktów spełniających warunek szukanego słowa - liczba znalezionych produktów znajduje się po lewej stronie pod szukanym słowem.
73,R28,Sprawdzenie wyszukiwania - powrót do wyszukania,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy kliknij w dowolny produkt
 5. Na karcie przeglądarki kliknij przycisk ""wstecz"" aby wrócić do listy wyszukania",Ponownie wyświetli się strona z listą produktów spełniających warunek szukanego słowa
74,R28,Sprawdzenie wyszukiwania - otwarcie wyników w tym samym oknie,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy kliknij w dowolny produkt",Wybrany wynik wyświetli się w tym samym oknie
75,R28,"Sprawdzenie wyszukiwania - filtr ""Wybrane""",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy w sekcji Wybrane po lewej stronie zaznacz checkbox ""promocje""",Wyświetli się lista produktów na które aktualnie obowiązuje promocja
76,R28,"Sprawdzenie wyszukiwania - filtr ""Marka""",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy po lewej stronie kliknij w ""Marka""
 5. Z rozwiniętej listy wybierz dowolną Markę",Wyświetli się lista produktów tylko wybranej Marki
77,R28,"Sprawdzenie wyszukiwania - filtr ""Cena"" - przedział",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy po lewej stronie kliknij w ""Cena""
 5. Z rozwiniętej listy wybierz dowolny przedział cen zaznaczając radiobutton",Wyświetli się lista produktów tylko wybranego przedziału cen
78,R28,"Sprawdzenie wyszukiwania - filtr ""Cena"" - wpisany zakres",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Deska""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy po lewej stronie kliknij w ""Cena""
 5. Z rozwiniętej listy wpisz ręcznie dowolny zakres cen MIN/MAX",Wyświetli się lista produktów spełniających zadany zakres cen MIN/MAX
79,R28,"Sprawdzenie wyszukiwania - filtr ""Cena"" - produkty o konkretnej cenie",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Deska""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy po lewej stronie kliknij w ""Cena""
 5. Z rozwiniętej listy wpisz ręcznie cenę MIN/MAX o wartości 99",Wyświetli się lista produktów spełniających żądany poziom ceny
80,R28,"Sprawdzenie wyszukiwania - filtr ""Cena"" - produkty o konkretnej cenie łącznie z groszami",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Deska""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy po lewej stronie kliknij w ""Cena""
 5. Z rozwiniętej listy wpisz ręcznie dowolną cenę MIN/MAX o wartości łącznie z groszami",Wyświetli się lista produktów spełniających żądany poziom ceny
